date,utc_hour,slot,ERA5_u_200hPa,ERA5_v_200hPa,ERA5_u_300hPa,ERA5_v_300hPa
2015-01-01,0,0,4.2711639404296875,5.153564453125,9.40216064453125,16.120361328125
2015-01-01,6,1,2.5529632568359375,3.6493988037109375,8.648590087890625,14.895462036132812
2015-01-01,12,2,2.3036956787109375,4.2746734619140625,8.423919677734375,16.856109619140625
2015-01-01,18,3,1.4224700927734375,4.5879058837890625,5.6536407470703125,18.950653076171875
2015-01-02,0,0,2.2535400390625,6.71435546875,4.464111328125,19.47149658203125
2015-01-02,6,1,2.838226318359375,8.288375854492188,7.3452606201171875,15.957809448242188
2015-01-02,12,2,0.644073486328125,12.110549926757812,12.942550659179688,12.928466796875
2015-01-02,18,3,4.02532958984375,21.009780883789062,11.90216064453125,13.166748046875
2015-01-03,0,0,8.295013427734375,15.385894775390625,13.121307373046875,13.966278076171875
2015-01-03,6,1,8.833572387695312,11.550201416015625,13.012802124023438,11.774322509765625
2015-01-03,12,2,7.1719970703125,10.988418579101562,14.44525146484375,8.74346923828125
2015-01-03,18,3,7.031524658203125,12.251373291015625,11.710525512695312,7.89532470703125
2015-01-04,0,0,7.02783203125,13.359100341796875,10.368606567382812,4.00390625
2015-01-04,6,1,5.61944580078125,11.417388916015625,6.7154083251953125,-0.3508758544921875
2015-01-04,12,2,7.24114990234375,7.0894317626953125,1.1384429931640625,-2.5718536376953125
2015-01-04,18,3,11.191421508789062,0.9763336181640625,2.4575042724609375,2.73541259765625
2015-01-05,0,0,13.440597534179688,-2.6016845703125,4.683990478515625,2.23931884765625
2015-01-05,6,1,10.71112060546875,-3.73175048828125,6.6436309814453125,-0.381317138671875
2015-01-05,12,2,6.15496826171875,-2.0876312255859375,6.1552581787109375,-5.517303466796875
2015-01-05,18,3,5.0835418701171875,-0.8448028564453125,2.5997772216796875,-6.391265869140625
2015-01-06,0,0,3.0639495849609375,-5.1285552978515625,0.7041015625,-5.6134033203125
2015-01-06,6,1,-0.821502685546875,-4.56109619140625,-1.48199462890625,-5.708526611328125
2015-01-06,12,2,-1.3359222412109375,-3.16619873046875,-5.1074371337890625,-5.677825927734375
2015-01-06,18,3,-0.1331024169921875,-0.5423736572265625,-7.8445587158203125,-6.90478515625
2015-01-07,0,0,1.3531646728515625,0.8656158447265625,-7.7176361083984375,-5.993133544921875
2015-01-07,6,1,3.285247802734375,-2.7855682373046875,-5.1805877685546875,-4.526336669921875
2015-01-07,12,2,2.218841552734375,0.2094879150390625,-1.5311431884765625,-5.0996246337890625
2015-01-07,18,3,3.1507720947265625,-3.2678070068359375,0.0276947021484375,-8.393997192382812
2015-01-08,0,0,-3.837310791015625,-7.1916656494140625,-2.6748199462890625,-6.8208160400390625
2015-01-08,6,1,-2.2307281494140625,-1.6145477294921875,-3.527496337890625,-3.8597564697265625
2015-01-08,12,2,1.8382720947265625,0.589569091796875,-0.783111572265625,-2.2496490478515625
2015-01-08,18,3,2.640533447265625,-3.75982666015625,3.048614501953125,-5.15631103515625
2015-01-09,0,0,3.311065673828125,-8.910415649414062,5.7480316162109375,-8.557693481445312
2015-01-09,6,1,3.3714141845703125,-6.9712677001953125,4.6287689208984375,-7.5643310546875
2015-01-09,12,2,0.9863128662109375,-5.6511383056640625,-1.7883148193359375,-5.275543212890625
2015-01-09,18,3,0.072998046875,-5.0445556640625,-3.096893310546875,-2.89593505859375
2015-01-10,0,0,0.0678253173828125,-3.986053466796875,-2.1765899658203125,-4.46087646484375
2015-01-10,6,1,-2.146881103515625,-2.3216094970703125,-0.8331298828125,-2.602813720703125
2015-01-10,12,2,-1.6236572265625,-0.7424774169921875,-2.1973419189453125,-3.964324951171875
2015-01-10,18,3,0.068023681640625,1.3321533203125,-0.5535125732421875,-4.56988525390625
